market_ids,prices,shares,firm_ids,nesting_ids,product_ids,mktsize,nestshare,xi,alpha,rho
3,3.2021468,.036777962,4,1,4,1030,.45345083,2.6610148,-1.4945582,.79262936
3,3.2997372,.029808769,5,1,5,1030,.36752474,2.7633016,-1.4945582,.79262936
3,3.4792385,.010032811,1,2,6,1030,.11570447,2.8587174,-1.4945582,.79262936
3,3.4777415,.0066021564,2,2,7,1030,.076140076,2.7697027,-1.4945582,.79262936
3,3.483434,.0096013453,3,2,8,1030,.11072855,2.8558722,-1.4945582,.79262936
3,3.2552402,.052528884,4,2,9,1030,.60579497,2.8672414,-1.4945582,.79262936
3,3.4694912,.0079454668,5,2,10,1030,.091631949,2.7957785,-1.4945582,.79262936
3,3.4463038,.021415846,1,3,11,1030,.3027567,2.8053424,-1.4945582,.79262936
3,3.7307584,.0032943022,2,3,12,1030,.046571683,2.8422918,-1.4945582,.79262936
3,3.6920536,.0034814971,3,3,13,1030,.049218066,2.7959058,-1.4945582,.79262936
3,3.4356573,.037456859,4,3,14,1030,.52952915,2.9053628,-1.4945582,.79262936
3,3.5736806,.005087655,5,3,15,1030,.071924388,2.6976578,-1.4945582,.79262936
3,3.3078349,.024050802,1,4,16,1030,.24816443,2.8720345,-1.4945582,.79262936
3,3.6894922,.0012651411,2,4,17,1030,.013054159,2.8317401,-1.4945582,.79262936
3,3.4190803,.0082174288,3,4,18,1030,.084790252,2.8155994,-1.4945582,.79262936
3,3.1743317,.061898287,4,4,19,1030,.63868779,2.8685386,-1.4945582,.79262936
3,3.7666295,.0014831204,5,4,20,1030,.015303345,2.9799907,-1.4945582,.79262936
3,3.4690318,.0098579694,1,5,21,1030,.11166718,2.8540337,-1.4945582,.79262936
3,3.4686017,.014431257,2,5,22,1030,.16347156,2.9324231,-1.4945582,.79262936
3,3.504684,.0053862752,3,5,23,1030,.061013594,2.7819774,-1.4945582,.79262936
3,3.3413029,.024430323,4,5,24,1030,.27673703,2.8513334,-1.4945582,.79262936
3,3.2475038,.034174092,5,5,25,1030,.38711059,2.7807477,-1.4945582,.79262936
4,3.5769815,.0028108461,1,1,1,828,.023754403,3.1250987,-1.4945582,.79262936
4,3.5926929,.0013552803,2,1,2,828,.011453447,2.9973083,-1.4945582,.79262936
4,3.4804764,.0088702235,3,1,3,828,.07496208,3.2191796,-1.4945582,.79262936
4,3.2049868,.080709144,4,1,4,828,.68207139,3.2653501,-1.4945582,.79262936
4,3.3145399,.024583977,5,1,5,828,.20775869,3.1825702,-1.4945582,.79262936
4,3.4830649,.018582657,1,2,6,828,.19890504,3.1890936,-1.4945582,.79262936
4,3.506707,.010231801,2,2,7,828,.10951915,3.1006842,-1.4945582,.79262936
4,3.4730253,.0083331792,3,2,8,828,.089196682,3.0077808,-1.4945582,.79262936
4,3.2336559,.046309896,4,2,9,828,.49569187,3.005693,-1.4945582,.79262936
4,3.4675541,.0099672321,5,2,10,828,.10668726,3.0367353,-1.4945582,.79262936
4,3.4522908,.035417132,1,3,11,828,.47600034,3.0964253,-1.4945582,.79262936
4,3.7342274,.0031900574,2,3,12,828,.042873837,3.0186224,-1.4945582,.79262936
4,3.6865518,.0053040865,3,3,13,828,.071286038,3.0528038,-1.4945582,.79262936
4,3.4322376,.017976085,4,3,14,828,.24159558,2.9258258,-1.4945582,.79262936
4,3.544019,.012518326,5,3,15,828,.16824421,3.0178525,-1.4945582,.79262936
4,3.3056109,.012429072,1,4,16,828,.10355913,3.0390246,-1.4945582,.79262936
4,3.6668718,.0015211187,2,4,17,828,.012673973,3.1433487,-1.4945582,.79262936
4,3.4166327,.013131475,3,4,18,828,.10941156,3.2163529,-1.4945582,.79262936
4,3.1727293,.091629758,4,4,19,828,.76345992,3.2546935,-1.4945582,.79262936
4,3.748946,.0013076607,5,4,20,828,.010895439,3.234658,-1.4945582,.79262936
4,3.4639676,.014387523,1,5,21,828,.15687762,3.0928235,-1.4945582,.79262936
4,3.4774141,.018211601,2,5,22,828,.19857433,3.161797,-1.4945582,.79262936
4,3.5178504,.012396368,3,5,23,828,.13516662,3.1424654,-1.4945582,.79262936
4,3.3411334,.013964986,4,5,24,828,.15227041,2.9030595,-1.4945582,.79262936
4,3.2461402,.032751285,5,5,25,828,.35711107,2.9378471,-1.4945582,.79262936
5,3.5779564,.0041773445,1,1,1,927,.045221213,2.9213707,-1.4945582,.79262936
5,3.6120248,.0032842373,2,1,2,927,.035553016,2.9224064,-1.4945582,.79262936
5,3.5075092,.0051742722,3,1,3,927,.056013305,2.8604655,-1.4945582,.79262936
5,3.2016976,.054042351,4,1,4,927,.58502734,2.8899179,-1.4945582,.79262936
5,3.3005571,.025697567,5,1,5,927,.27818513,2.8835161,-1.4945582,.79262936
5,3.4939418,.015316138,1,2,6,927,.17266347,3.0330896,-1.4945582,.79262936
5,3.4585216,.010967948,2,2,7,927,.12364501,2.9109049,-1.4945582,.79262936
5,3.4810917,.0075571588,3,2,8,927,.085194141,2.8673956,-1.4945582,.79262936
5,3.2572508,.044761624,4,2,9,927,.50461137,2.9017348,-1.4945582,.79262936
5,3.4671044,.010102274,5,2,10,927,.113886,2.9066832,-1.4945582,.79262936
5,3.4570143,.024361355,1,3,11,927,.33986458,2.9052198,-1.4945582,.79262936
5,3.7214489,.0035452836,2,3,12,927,.049460154,2.9007504,-1.4945582,.79262936
5,3.6870689,.0029350999,3,3,13,927,.040947497,2.8102002,-1.4945582,.79262936
5,3.4340341,.031571478,4,3,14,927,.44045281,2.9246366,-1.4945582,.79262936
5,3.5706995,.0092663765,5,3,15,927,.12927496,2.8746829,-1.4945582,.79262936
5,3.3161771,.02037251,1,4,16,927,.19911459,2.9397113,-1.4945582,.79262936
5,3.6942685,.0015062987,2,4,17,927,.014722096,2.9646873,-1.4945582,.79262936
5,3.4089792,.017464075,3,4,18,927,.17068845,3.0464659,-1.4945582,.79262936
5,3.1731725,.062255822,4,4,19,927,.60846907,2.9576292,-1.4945582,.79262936
5,3.7706091,.00071680325,5,4,20,927,.0070058121,2.924788,-1.4945582,.79262936
5,3.4747956,.021222208,1,5,21,927,.22354612,3.1259007,-1.4945582,.79262936
5,3.4627368,.0099536926,2,5,22,927,.10484815,2.9508772,-1.4945582,.79262936
5,3.487581,.010345652,3,5,23,927,.10897689,2.9960175,-1.4945582,.79262936
5,3.3532789,.026045283,4,5,24,927,.27435043,2.9867542,-1.4945582,.79262936
5,3.2627833,.027367521,5,5,25,927,.28827837,2.8617723,-1.4945582,.79262936
6,3.5837824,.0050249463,1,1,1,1086,.048510119,3.0553765,-1.4945582,.79262936
6,3.620333,.0028502403,2,1,2,1086,.027515816,2.9924219,-1.4945582,.79262936
6,3.5285621,.005070236,3,1,3,1086,.048947342,2.9747071,-1.4945582,.79262936
6,3.2014329,.067126393,4,1,4,1086,.64802867,3.0214713,-1.4945582,.79262936
6,3.2992046,.023513712,5,1,5,1086,.22699805,2.9500663,-1.4945582,.79262936
6,3.4827361,.0046540298,1,2,6,1086,.049601141,2.8100464,-1.4945582,.79262936
6,3.4803524,.0083508855,2,2,7,1086,.08900103,2.9277196,-1.4945582,.79262936
6,3.4874218,.011817591,3,2,8,1086,.12594806,3.010289,-1.4945582,.79262936
6,3.2450624,.06037236,4,2,9,1086,.64342904,2.9862781,-1.4945582,.79262936
6,3.4893842,.0086342217,5,2,10,1086,.092020735,2.9481373,-1.4945582,.79262936
6,3.4478362,.013388271,1,3,11,1086,.20228495,2.7003617,-1.4945582,.79262936
6,3.7202454,.0055195121,2,3,12,1086,.083394952,2.9237444,-1.4945582,.79262936
6,3.6907866,.0045725554,3,3,13,1086,.069087274,2.8406854,-1.4945582,.79262936
6,3.4422269,.026055515,4,3,14,1086,.3936758,2.8300562,-1.4945582,.79262936
6,3.5638745,.016649356,5,3,15,1086,.25155705,2.918993,-1.4945582,.79262936
6,3.290539,.034305848,1,4,16,1086,.36686388,2.934346,-1.4945582,.79262936
6,3.6790092,.00065085059,2,4,17,1086,.0069601415,2.6927559,-1.4945582,.79262936
6,3.3910615,.0088139409,3,4,18,1086,.094255544,2.8027701,-1.4945582,.79262936
6,3.1756189,.048969377,4,4,19,1086,.52367443,2.83639,-1.4945582,.79262936
6,3.775126,.00077109237,5,4,20,1086,.0082459971,2.8715632,-1.4945582,.79262936
6,3.4721074,.010076165,1,5,21,1086,.11095967,2.9284124,-1.4945582,.79262936
6,3.494168,.0086937267,2,5,22,1086,.095736131,2.9307814,-1.4945582,.79262936
6,3.5091875,.0059344899,3,5,23,1086,.065351158,2.8740509,-1.4945582,.79262936
6,3.3483658,.032258507,4,5,24,1086,.3552337,2.984772,-1.4945582,.79262936
6,3.2432814,.033846367,5,5,25,1086,.37271935,2.8376813,-1.4945582,.79262936
7,3.5854452,.004322526,1,1,1,976,.042227618,3.0560293,-1.4945582,.79262936
7,3.6169991,.0031462705,2,1,2,976,.030736543,3.037323,-1.4945582,.79262936
7,3.5177329,.0056498609,3,1,3,976,.055194616,3.0103612,-1.4945582,.79262936
7,3.1948276,.06677708,4,1,4,976,.65235859,3.0399096,-1.4945582,.79262936
7,3.2857871,.022466801,5,1,5,976,.21948266,2.9499607,-1.4945582,.79262936
7,3.4645548,.012288131,1,2,6,976,.13235196,3.014653,-1.4945582,.79262936
7,3.4666877,.017729908,2,2,7,976,.1909638,3.0938668,-1.4945582,.79262936
7,3.4694343,.017312497,3,2,8,976,.18646799,3.0930314,-1.4945582,.79262936
7,3.25124,.029550616,4,2,9,976,.31828129,2.8778033,-1.4945582,.79262936
7,3.4612527,.015963189,5,2,10,976,.17193498,3.0639768,-1.4945582,.79262936
7,3.4503796,.022386324,1,3,11,976,.30572078,2.9296887,-1.4945582,.79262936
7,3.7310979,.0046638232,2,3,12,976,.063691907,3.0239542,-1.4945582,.79262936
7,3.6714792,.0063248505,3,3,13,976,.08637587,2.9980259,-1.4945582,.79262936
7,3.4313712,.026641594,4,3,14,976,.36383325,2.937367,-1.4945582,.79262936
7,3.5517554,.013208146,5,3,15,976,.1803782,2.9717886,-1.4945582,.79262936
7,3.3034599,.038176183,1,4,16,976,.3698689,3.0928931,-1.4945582,.79262936
7,3.6761167,.0033108557,2,4,17,976,.032077137,3.142828,-1.4945582,.79262936
7,3.4172685,.011369755,3,4,18,976,.11015556,3.0118079,-1.4945582,.79262936
7,3.1686907,.049184944,4,4,19,976,.47652701,2.9440153,-1.4945582,.79262936
7,3.7744191,.0011737046,5,4,20,976,.011371406,3.0746946,-1.4945582,.79262936
7,3.4637151,.017274564,1,5,21,976,.17756304,3.1210768,-1.4945582,.79262936
7,3.4885569,.011680193,2,5,22,976,.12005922,3.0770514,-1.4945582,.79262936
7,3.514097,.010021065,3,5,23,976,.10300525,3.0834525,-1.4945582,.79262936
7,3.3620131,.020899763,4,5,24,976,.214826,3.0085819,-1.4945582,.79262936
7,3.2585213,.037411347,5,5,25,976,.38454649,2.9746461,-1.4945582,.79262936
8,3.5699897,.0078510316,1,1,1,1052,.085965917,2.9943392,-1.4945582,.79262936
8,3.6120939,.0028649536,2,1,2,1052,.031370193,2.8482172,-1.4945582,.79262936
8,3.4943917,.0064314869,3,1,3,1052,.070422426,2.8399956,-1.4945582,.79262936
8,3.1794279,.04846365,4,1,4,1052,.5306592,2.7880714,-1.4945582,.79262936
8,3.2916529,.025716137,5,1,5,1052,.28158227,2.8243885,-1.4945582,.79262936
8,3.4656889,.0075344844,1,2,6,1052,.084734216,2.8087399,-1.4945582,.79262936
8,3.4716008,.005688854,2,2,7,1052,.063977912,2.7593081,-1.4945582,.79262936
8,3.4929779,.0082349014,3,2,8,1052,.092611238,2.8679581,-1.4945582,.79262936
8,3.2420039,.060168959,4,2,9,1052,.67667133,2.9052765,-1.4945582,.79262936
8,3.4958184,.0072918283,5,2,10,1052,.082005262,2.8469813,-1.4945582,.79262936
8,3.4551411,.014193367,1,3,11,1052,.21588323,2.6849785,-1.4945582,.79262936
8,3.7374439,.0028224785,2,3,12,1052,.042930316,2.77196,-1.4945582,.79262936
8,3.6838815,.0055621788,3,3,13,1052,.084601566,2.8325827,-1.4945582,.79262936
8,3.437078,.037174627,4,3,14,1052,.56543159,2.8576491,-1.4945582,.79262936
8,3.5514157,.0059929276,5,3,15,1052,.091153316,2.6500726,-1.4945582,.79262936
8,3.313086,.020873766,1,4,16,1052,.22080895,2.8405054,-1.4945582,.79262936
8,3.6656799,.001657707,2,4,17,1052,.017535722,2.8421955,-1.4945582,.79262936
8,3.4008961,.013418342,3,4,18,1052,.14194325,2.8801115,-1.4945582,.79262936
8,3.1630733,.057793725,4,4,19,1052,.61135936,2.8274863,-1.4945582,.79262936
8,3.7691596,.00078961521,5,4,20,1052,.0083527863,2.8430564,-1.4945582,.79262936
8,3.4754708,.0043125241,1,5,21,1052,.048564713,2.7065873,-1.4945582,.79262936
8,3.5082135,.0042245337,2,5,22,1052,.047573827,2.7512484,-1.4945582,.79262936
8,3.4867897,.0059674932,3,5,23,1052,.067201853,2.790859,-1.4945582,.79262936
8,3.344079,.017264128,4,5,24,1052,.19441687,2.7978601,-1.4945582,.79262936
8,3.2373068,.057030857,5,5,25,1052,.64224273,2.8860829,-1.4945582,.79262936
9,3.5750153,.0035886148,1,1,1,819,.035587177,2.9903851,-1.4945582,.79262936
9,3.6078286,.0039797295,2,1,2,819,.03946574,3.060878,-1.4945582,.79262936
9,3.5021415,.009618843,3,1,3,819,.095387079,3.0859294,-1.4945582,.79262936
9,3.200047,.057567965,4,1,4,819,.57088363,3.0054679,-1.4945582,.79262936
9,3.311445,.026084952,5,1,5,819,.25867635,3.0078022,-1.4945582,.79262936
9,3.4781532,.0073910221,1,2,6,819,.075918578,2.967562,-1.4945582,.79262936
9,3.4813864,.011736071,2,2,7,819,.12054974,3.0682828,-1.4945582,.79262936
9,3.4624314,.01731316,3,2,8,819,.17783609,3.120579,-1.4945582,.79262936
9,3.2429364,.05092774,4,2,9,819,.52311593,3.0162718,-1.4945582,.79262936
9,3.4788997,.0099866018,5,2,10,819,.10257967,3.0310919,-1.4945582,.79262936
9,3.4337759,.027523229,1,3,11,819,.38771036,2.923543,-1.4945582,.79262936
9,3.7313125,.0049415394,2,3,12,819,.069609784,3.0121002,-1.4945582,.79262936
9,3.6718214,.0046613491,3,3,13,819,.065662839,2.9110825,-1.4945582,.79262936
9,3.4420638,.020299396,4,3,14,819,.28595069,2.8727977,-1.4945582,.79262936
9,3.5547464,.013563637,5,3,15,819,.19106634,2.957597,-1.4945582,.79262936
9,3.3086925,.018894812,1,4,16,819,.17121796,3.0082881,-1.4945582,.79262936
9,3.6644704,.0026286482,2,4,17,819,.02381986,3.1309974,-1.4945582,.79262936
9,3.4002862,.0069759432,3,4,18,819,.063213475,2.9385521,-1.4945582,.79262936
9,3.1718352,.08108934,4,4,19,819,.73480231,3.1058164,-1.4945582,.79262936
9,3.7681928,.00076657126,5,4,20,819,.0069463919,3.0304747,-1.4945582,.79262936
9,3.4583986,.013577118,1,5,21,819,.15151164,2.9984498,-1.4945582,.79262936
9,3.480226,.009275659,2,5,22,819,.10351021,2.9520659,-1.4945582,.79262936
9,3.5176322,.010717047,3,5,23,819,.11959515,3.0379245,-1.4945582,.79262936
9,3.3386669,.017367182,4,5,24,819,.19380625,2.8705578,-1.4945582,.79262936
9,3.236089,.038674045,5,5,25,819,.43157673,2.8832674,-1.4945582,.79262936
10,3.5782437,.0080237258,1,1,1,898,.081493296,3.1135912,-1.4945582,.79262936
10,3.6060388,.0027950392,2,1,2,898,.028387928,2.9364483,-1.4945582,.79262936
10,3.5161502,.0055814344,3,1,3,898,.056688063,2.9455218,-1.4945582,.79262936
10,3.1952903,.061073095,4,1,4,898,.62029135,2.9621384,-1.4945582,.79262936
10,3.3124757,.02098543,5,1,5,898,.21313937,2.9157567,-1.4945582,.79262936
10,3.4897733,.0080285072,1,2,6,898,.078322783,3.0134158,-1.4945582,.79262936
10,3.4772804,.012297038,2,2,7,898,.1199648,3.0831587,-1.4945582,.79262936
10,3.4712627,.0088498006,3,2,8,898,.086334981,3.0059478,-1.4945582,.79262936
10,3.2485423,.067877114,4,2,9,898,.66218096,3.0955563,-1.4945582,.79262936
10,3.4679778,.00545293,5,2,10,898,.053196523,2.9006207,-1.4945582,.79262936
10,3.442183,.027566206,1,3,11,898,.42358831,2.8379838,-1.4945582,.79262936
10,3.7194605,.0035665834,2,3,12,898,.054804895,2.8283217,-1.4945582,.79262936
10,3.6907327,.0065358817,3,3,13,898,.10043178,2.9109907,-1.4945582,.79262936
10,3.4450905,.019521821,4,3,14,898,.29997653,2.7707744,-1.4945582,.79262936
10,3.5561354,.0078873364,5,3,15,898,.12119852,2.7488024,-1.4945582,.79262936
10,3.3197391,.024620647,1,4,16,898,.25802118,2.9349012,-1.4945582,.79262936
10,3.6770098,.0014161546,2,4,17,898,.014841116,2.8766873,-1.4945582,.79262936
10,3.4082417,.011534894,3,4,18,898,.12088419,2.9099436,-1.4945582,.79262936
10,3.1861136,.057006475,4,4,19,898,.59742045,2.9092944,-1.4945582,.79262936
10,3.7620769,.00084286119,5,4,20,898,.0088330759,2.8962207,-1.4945582,.79262936
10,3.4398823,.016654477,1,5,21,898,.18147014,3.0025222,-1.4945582,.79262936
10,3.4737494,.012192179,2,5,22,898,.13284816,2.9884632,-1.4945582,.79262936
10,3.5072551,.0071456479,3,5,23,898,.077860251,2.927743,-1.4945582,.79262936
10,3.3384535,.017060807,4,5,24,898,.18589759,2.8559296,-1.4945582,.79262936
10,3.2713614,.038722187,5,5,25,898,.42192385,2.9256237,-1.4945582,.79262936
